Booking Date,Origin,Destination,Departure Date,Departure Day,Arrival Date,Arrival Day,Trip Duration,Price,Airline,stops - outbound,stops - return,duration - inbound,duration - return,Origin_Holiday_Season,Origin_Peak_Season,Dest_Holiday_Season,Dest_Peak_Season,On_Holiday,On_Peak,Unnamed: 20
2025-03-04,YVR,CDG,2025-04-09,Wednesday,2025-04-12,Saturday,3,2304.0,"Air France, KLM • Operated by Air France",direct,1 stop,12h 10m,14h 45m,No,No,No,No,No,No,36.0
2025-03-04,YVR,CDG,2025-04-09,Wednesday,2025-04-14,Monday,5,986.0,"Air France, KLM • Operated by Delta",direct,1 stop,9h 30m,14h 07m,No,No,No,No,No,No,36.0
2025-03-04,YVR,CDG,2025-04-09,Wednesday,2025-04-16,Wednesday,7,1173.0,Air France,direct,direct,9h 30m,9h 50m,No,No,No,No,No,No,36.0
2025-03-04,YVR,CDG,2025-04-09,Wednesday,2025-04-19,Saturday,10,1402.0,"Air France, KLM • Operated by Air France",direct,1 stop,13h 10m,15h 47m,No,No,No,No,No,No,36.0
2025-03-04,YVR,CDG,2025-04-09,Wednesday,2025-04-23,Wednesday,14,1079.0,Air France,direct,direct,9h 30m,9h 50m,No,No,No,No,No,No,36.0
2025-03-04,YVR,CDG,2025-04-09,Wednesday,2025-05-09,Friday,30,945.0,Air France,direct,direct,9h 30m,9h 50m,No,No,No,No,No,No,36.0
2025-03-04,YVR,CDG,2025-04-16,Wednesday,2025-04-21,Monday,5,1217.0,"Air France, KLM • Operated by Delta, Air France",direct,1 stop,9h 30m,13h 15m,No,No,No,No,No,No,43.0
2025-03-04,YVR,CDG,2025-04-16,Wednesday,2025-04-23,Wednesday,7,1405.0,Air France,direct,direct,9h 30m,9h 50m,No,No,No,No,No,No,43.0
2025-03-04,YVR,CDG,2025-04-16,Wednesday,2025-04-26,Saturday,10,1229.0,Air France • Operated by WestJet,direct,1 stop,9h 30m,15h 17m,No,No,No,No,No,No,43.0
2025-03-04,YVR,AMS,2025-03-05,Wednesday,2025-03-08,Saturday,3,2672.0,KLM,direct,direct,9h 40m,10h 00m,No,No,No,No,No,No,1.0
2025-03-04,YVR,AMS,2025-03-05,Wednesday,2025-03-10,Monday,5,2642.0,KLM,direct,direct,9h 40m,10h 00m,No,No,No,No,No,No,1.0
2025-03-04,YVR,AMS,2025-03-05,Wednesday,2025-03-12,Wednesday,7,2642.0,KLM,direct,direct,9h 40m,10h 00m,No,No,No,No,No,No,1.0
2025-03-04,YYZ,YYC,2025-03-05,Wednesday,2025-03-10,Monday,5,1061.0,"WestJet, Porter Airlines",direct,direct,4h 30m,3h 56m,No,No,No,No,No,No,1.0
2025-03-04,YVR,AMS,2025-03-05,Wednesday,2025-03-15,Saturday,10,2672.0,KLM,direct,direct,9h 40m,10h 00m,No,No,No,No,No,No,1.0
